date,close,ret_1d,ret_5d,ret_20d,rsi_14,macd_hist,natr_14,bb_position,mvrv_zscore,nupl,nvt,puell,sopr,ntv_ratio,funding_rate,cot_net_frac,dvol,month_sin,month_cos,weekday,y_logret_fwd1
2024-08-22,60375.84,-0.012839442327577983,0.014747343278919285,-0.018420995052808652,49.83567543122335,306.29190129788617,4.696269803604965,0.4032267967928165,1.6364,0.4804,180.74,0.904,1.0121,-0.016479877572489636,-2.717333333333333e-05,-0.8121666902638162,53.99,-0.8660254037844384,-0.5000000000000004,3,0.05887576421662603
2024-08-23,64037.24,0.05887576421662603,0.09168068701254901,0.05355420529267842,58.37500405921464,562.0600653386476,4.626015876934267,1.3873083125731762,1.842,0.5096,190.45,0.842,1.0123,0.03252452597482578,-1.7516666666666668e-05,-0.8121666902638162,55.43,-0.8660254037844384,-0.5000000000000004,4,0.0018685710918962383
2024-08-24,64157.01,0.0018685710918962383,0.07639119566849797,0.0981183332027716,58.62312987392475,708.2694269945767,4.3948373756548325,1.096783192122492,1.8349,0.51,189.81,0.737,1.0043,0.004591752798600181,1.633333333333333e-05,-0.8121666902638162,55.14,-0.8660254037844384,-0.5000000000000004,5,0.0009813284334161388
2024-08-25,64220.0,0.0009813284334161388,0.08454337380050747,0.172982369417731,58.76235571053143,772.9070612410126,4.213360469543746,0.8929058543293853,1.8598,0.5105,191.32,0.725,1.006,0.01724622821516398,-1.0763333333333332e-05,-0.8121666902638162,54.2,-0.8660254037844384,-0.5000000000000004,6,-0.021818360418123024
2024-08-26,62834.0,-0.021818360418123024,0.027067860996237297,0.11475167901211386,54.42303950170759,688.7959372275787,4.189799564388811,0.4970770368476043,1.7727,0.4993,188.08,0.726,0.9981,-0.02240853276305756,3.225333333333333e-05,-0.8121666902638162,51.58,-0.8660254037844384,-0.5000000000000004,0,-0.05594960850125526
2024-08-27,59415.0,-0.05594960850125526,-0.016042305177439795,0.07477723197886578,45.49757367327194,384.5500015756629,4.736902965550408,-0.2530525813525918,1.581,0.4707,176.43,0.816,1.0079,-0.050237170384202084,4.099666666666667e-05,-0.7947951468260946,52.69,-0.8660254037844384,-0.5000000000000004,1,-0.006417925294743356
2024-08-28,59034.9,-0.006417925294743356,-0.08133599468880916,-0.043928044230038946,44.62143058273194,151.3359367336383,4.7142309840405625,-0.3465583165608761,1.5531,0.4676,173.1,0.672,1.0,-0.01775724671319847,-1.0756666666666666e-05,-0.7947951468260946,52.91,-0.8660254037844384,-0.5000000000000004,2,0.005475126375226921
2024-08-29,59359.01,0.005475126375226921,-0.07772943940547852,-0.024610508547524293,45.58369645905973,19.464850871329247,4.648883862253203,-0.321927378820582,1.5656,0.4697,173.66,0.72,0.9998,-0.0067071621814562945,-6.87e-06,-0.7947951468260946,52.98,-0.8660254037844384,-0.5000000000000004,3,-0.003967156608714223
2024-08-30,59123.99,-0.003967156608714223,-0.08267792444760895,-0.02998237869972287,44.97344810980092,-77.70025358155812,4.604956788616413,-0.3852183591299294,1.5536,0.4675,172.15,0.743,1.0053,-0.014112281312305325,2.4803333333333334e-05,-0.7947951468260946,51.96,-0.8660254037844384,-0.5000000000000004,4,-0.00254026496747557
2024-08-31,58973.99,-0.00254026496747557,-0.06339982899696153,0.004442315001008731,44.56338905577826,-142.41589354763488,4.373916666564912,-0.40736217753294324,1.542,0.4663,171.51,0.698,0.9969,-0.011929717993931254,1.8763333333333334e-05,-0.7947951468260946,50.48,-0.8660254037844384,-0.5000000000000004,5,-0.028763415319443375
2024-09-01,57301.86,-0.028763415319443375,-0.03621363581514966,-0.035062422215375366,40.16675399588837,-280.21452303703813,4.413811013679912,-0.7495790559596192,1.4511,0.4509,167.35,0.847,0.9987,-0.0317837994410603,9.966666666666682e-07,-0.7947951468260946,54.36,-1.0,-1.8369701987210297e-16,6,0.03144134758080365
2024-09-02,59132.13,0.03144134758080365,0.001645637060397543,-0.024308392878029526,46.4002897525555,-232.44287131303665,4.249229105395562,-0.3270857049429984,1.5516,0.4679,173.32,0.736,0.997,0.04548605260640601,-1.167e-05,-0.7947951468260946,52.92,-1.0,-1.8369701987210297e-16,0,-0.028202897779850595
2024-09-03,57487.73,-0.028202897779850595,-0.03203238709468013,-0.020585188839455336,42.15135180989286,-292.07916895576943,4.356112888512337,-0.6420081893028193,1.4663,0.4525,169.88,0.75,1.0,-0.02226149861872138,5.322e-05,-0.7947794779477948,55.29,-1.0,-1.8369701987210297e-16,1,0.008369626775024829
