date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-03-18,1,0.049997601050550955,0,0.48911267752671855,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.049997601050550955,1.0080007224848822,1.4786902294852295
2025-03-19,0,-0.030937253791171848,0,0.4628363379661845,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.030937253791171848,1.0080007224848822,1.4329436145771188
2025-03-20,0,-0.0014727011460912154,0,0.4768873709463712,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.0014727011460912154,1.0080007224848822,1.4308333168736471
2025-03-21,0,-0.0025077306278807887,0,0.47931938891510945,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.0025077306278807887,1.0080007224848822,1.427245172341531
2025-03-22,1,0.026503933905394295,1,0.5829803920420733,M1_NTV_only,logistic,1,1.0,0.0005,0.026003933905394294,0.026503933905394295,1.0342127066489688,1.465072784056064
2025-03-23,1,0.016786352378946434,0,0.48221334816245387,M1_NTV_only,logistic,0,1.0,0.0005,-0.0005,0.016786352378946434,1.0336956002956443,1.4896660120700331
2025-03-24,0,-0.0003109860024155253,0,0.4775558118132688,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.0003109860024155253,1.0336956002956443,1.4892027467920053
2025-03-25,0,-0.00652577110204744,0,0.4871759976790981,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.00652577110204744,1.0336956002956443,1.4794845505419003
2025-03-26,1,0.003178549412391707,1,0.5173781975699189,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.003178549412391707,1.0336956002956443,1.484187165290668
2025-03-27,0,-0.032393289916566204,0,0.48669667330908956,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.032393289916566204,1.0336956002956443,1.4361094601549609
2025-03-28,0,-0.020812056603918605,0,0.4570838012884668,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.020812056603918605,1.0336956002956443,1.4062210687807928
2025-03-29,0,-0.0031848691098436133,0,0.48219339337473444,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.0031848691098436133,1.0336956002956443,1.4017424387372215
2025-03-30,1,0.0026038970780313253,1,0.5088055143515435,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.0026038970780313253,1.0336956002956443,1.4053924317776019
2025-03-31,1,0.0317418810684309,0,0.4948234589023736,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.0317418810684309,1.0336956002956443,1.4500022312015595
2025-04-01,0,-0.031507420800550134,1,0.5028401833729667,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.031507420800550134,1.0336956002956443,1.4043164007413553
2025-04-02,1,0.007481504135517403,0,0.48698701625029894,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.007481504135517403,1.0336956002956443,1.4148227997010767
2025-04-03,1,0.008916382019940938,0,0.47736552430361234,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.008916382019940938,1.0336956002956443,1.4274379002737339
2025-04-04,0,-0.004043325726492686,0,0.495403039294401,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.004043325726492686,1.0336956002956443,1.4216663038885864
2025-04-05,0,-0.06335339642726368,1,0.5061860097319189,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.06335339642726368,1.0336956002956443,1.33159891495105
2025-04-06,1,0.013051950296130821,1,0.5142078383457845,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.013051950296130821,1.0336956002956443,1.3489788778033729
2025-04-07,0,-0.03739976334343409,0,0.4569464705356077,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.03739976334343409,1.0336956002956443,1.2985273870182354
2025-04-08,1,0.0826253916648998,0,0.4681155766337221,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.0826253916648998,1.0336956002956443,1.405818720958216
2025-04-09,0,-0.0356990599146636,0,0.4869211497274678,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.0356990599146636,1.0336956002956443,1.355632314209573
2025-04-10,1,0.04745546227457886,1,0.5242576284537944,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.04745546227457886,1.0336956002956443,1.4199644723547453
2025-04-11,1,0.022567917271733462,0,0.4865346293947248,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.022567917271733462,1.0336956002956443,1.452010113095648
2025-04-12,0,-0.01878516957885823,1,0.5078390989244381,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.01878516957885823,1.0336956002956443,1.4247338568909291
2025-04-13,1,0.010245734631468162,1,0.5046965629605256,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.010245734631468162,1.0336956002956443,1.4393313019091016
2025-04-14,0,-0.01033089354397465,0,0.4959634253393846,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.01033089354397465,1.0336956002956443,1.4244617234545682
2025-04-15,1,0.004360934564412222,0,0.45404404487817535,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.004360934564412222,1.0336956002956443,1.4306737078200635
2025-04-16,1,0.01025637449930672,0,0.4663142476661353,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.01025637449930672,1.0336956002956443,1.4453472331537778
2025-04-17,0,-0.005241078764249063,0,0.4601238202802813,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.005241078764249063,1.0336956002956443,1.4377720544631294
