date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-05-16,0,-0.0028814878109744146,0,0.4806794043074668,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.0028814878109744146,0.7045631738562008,1.756824700245882
2025-05-17,1,0.03154266519659865,1,0.549602834730738,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.03154266519659865,0.7045631738562008,1.8122396335748527
2025-05-18,0,-0.007889709931436006,1,0.5132426418429357,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,-0.0,-0.007889709931436006,0.7045631738562008,1.7979415885396952
2025-05-19,1,0.011220046530480143,0,0.45072812877533885,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.011220046530480143,0.7045631738562008,1.818114576822196
2025-05-20,1,0.027034018449719976,0,0.47265734407228416,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.027034018449719976,0.7045631738562008,1.867265519835712
2025-05-21,1,0.018191448638679386,0,0.4311045900866909,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.018691448638679387,0.018191448638679386,0.6913938674793627,1.9012337846345804
2025-05-22,0,-0.03927066820202352,0,0.38540811772152994,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.03927066820202352,-0.03927066820202352,0.7185453666460586,1.8265710635037182
2025-05-23,1,0.004691674073487251,0,0.4711940886026775,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.004691674073487251,0.7181860939627356,1.8351407396057406
2025-05-24,1,0.011543009819045436,0,0.42085715422184045,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.012043009819045436,0.011543009819045436,0.7095369717812405,1.85632378718234
2025-05-25,1,0.003714175371671846,0,0.3653382536047808,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.003714175371671846,0.003714175371671846,0.7069016270353601,1.863218499274541
2025-05-26,0,-0.004072780217708405,0,0.334872825967467,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.004072780217708405,-0.004072780217708405,0.7097806819978156,1.8556300198294273
2025-05-27,0,-0.010939184653144474,0,0.44904308350527466,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.010939184653144474,-0.010939184653144474,0.7175451039414245,1.835330940394595
2025-05-28,0,-0.020041963379443528,0,0.4208717048970241,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.020041963379443528,-0.020041963379443528,0.7319261166377174,1.798547304898047
2025-05-29,0,-0.015554336978341854,0,0.4368865033513173,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.015554336978341854,-0.015554336978341854,0.7433107420991497,1.7705720940461742
2025-05-30,1,0.006149348357177731,0,0.4733915383483455,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.006149348357177731,0.7429390867281002,1.781459958643962
