date,taker_buy_volume,taker_sell_volume,net_taker_volume,total_taker_volume,ntv_ratio,ntv_abs,ntv_ratio_abs,ntv_sign,ntv_ratio_ma_3,ntv_ratio_std_3,ntv_net_ma_3,ntv_ratio_ma_7,ntv_ratio_std_7,ntv_net_ma_7,ntv_ratio_ma_14,ntv_ratio_std_14,ntv_net_ma_14,ntv_ratio_ma_30,ntv_ratio_std_30,ntv_net_ma_30,ntv_ratio_z_30,ntv_net_z_30,btc_close,btc_volume,btc_open,btc_high,btc_low,btc_return,next_return,target_up,btc_return_lag_1,btc_return_lag_2,btc_return_lag_3,btc_return_lag_5,btc_return_lag_7,btc_return_lag_14,btc_volatility_3,btc_return_ma_3,btc_volume_chg_3,btc_volume_z_3,btc_volatility_7,btc_return_ma_7,btc_volume_chg_7,btc_volume_z_7,btc_volatility_14,btc_return_ma_14,btc_volume_chg_14,btc_volume_z_14,btc_volatility_30,btc_return_ma_30,btc_volume_chg_30,btc_volume_z_30,target_high_vol,same_day_up,ntv_ratio_lag1,net_taker_volume_lag1,ntv_ratio_z_30_lag1,ntv_net_z_30_lag1
2021-08-24,193775.029,204906.97299999997,-11131.94399999996,398682.002,-0.027921862396988666,11131.94399999996,0.027921862396988666,-1.0,-0.01530387718642443,0.011066109212384512,-5696.294333333324,-0.002248562932756343,0.015985518981597724,-655.1521428571442,-0.006786536910496479,0.01748895681182397,-2707.3402857142796,-0.004053429488552426,0.01520127932019882,-1257.6059666666613,-1.5701594849797196,-1.3559177237791795,47706.1171875,35361168834,49562.34765625,49878.76953125,47687.1171875,-0.037137725293038826,0.02630002081428562,1,0.004551674225862445,0.00850947690403503,-0.008789842693618932,0.04277544261522093,-0.028456465011732934,-0.016830892309838696,0.02528944873099771,-0.008025524721047117,-0.1287177541136003,0.6708846978240594,0.03126690078700366,0.009770380517098807,0.0570920311030918,0.23635506487398142,0.033097921409231755,0.003751158779145923,0.054109230935138086,0.56437513263295,0.03422342184084825,0.010598538013449869,0.6954357007074687,0.33219278912974887,0,0,-0.010740911505280351,-3820.902000000002,-0.5485398540350139,-0.44754658948045795
2021-08-25,194689.116,194411.268,277.84799999999814,389100.384,0.0007140779383039573,277.84799999999814,0.0007140779383039573,1.0,-0.012649565321321698,0.014413066615533935,-4891.665999999987,-0.0023109076785009478,0.015970897317779578,-680.5175714285755,-0.006487851771898188,0.01758544254912415,-2590.7353571428525,-0.004317007880189524,0.015041644216146375,-1582.3767333333246,0.3344771187376503,0.26678522804845767,48960.7890625,32646349931,47727.2578125,49202.87890625,47163.61328125,0.02630002081428562,-0.04122830434622349,0,-0.037137725293038826,0.004551674225862445,0.00850947690403503,0.056115872471717454,0.002367765389513554,0.00018877838873909702,0.032236998006313064,-0.002095343417630254,0.2867597498560783,-1.065275964050447,0.03162889757510637,0.013189274149209103,0.014046876038414924,-0.35540933046230094,0.033613415432656016,0.0056162475238278175,-0.04875796407366595,-0.19220553239049099,0.03327084219261563,0.009601242983344674,-0.3601530874007003,-0.05054458662197239,1,1,-0.027921862396988666,-11131.94399999996,-1.5701594849797196,-1.3559177237791795
2021-08-26,230104.076,245079.047,-14974.97100000002,475183.123,-0.03151410535260112,14974.97100000002,0.03151410535260112,-1.0,-0.01957396327042862,0.01766152639011005,-8609.688999999993,-0.007877932769232127,0.018578336026772422,-3287.7668571428608,-0.007636460416369063,0.018704253480181288,-3144.1491428571426,-0.005623365832679363,0.01565348734094565,-2254.2933333333253,-1.6539917882833681,-1.7513071359306998,46942.21875,32666549568,49002.640625,49347.58203125,46405.78125,-0.04122830434622349,0.04508626296557394,1,0.02630002081428562,-0.037137725293038826,0.004551674225862445,-0.008789842693618932,0.04277544261522093,-0.02555943636254754,0.03786193155653686,-0.017355336274992233,-0.04776276301507454,-0.5708705968835722,0.034351527201922215,0.0011887388690027573,-0.12196873025178778,-0.22003841633990828,0.03496498706136211,0.0044970426678509635,-0.03134512938139267,-0.16419665332486116,0.03336011455059828,0.006379489951301787,-0.06925934772932463,-0.028462692617052303,1,0,0.0007140779383039573,277.84799999999814,0.3344771187376503,0.26678522804845767
2021-08-27,205164.652,198502.36,6662.292000000016,403667.012,0.016504425186965776,6662.292000000016,0.016504425186965776,1.0,-0.004765200742443808,0.0244736938352365,-2678.277000000002,-0.00890012456099864,0.016650756296612137,-3693.0644285714297,-0.008410107808177174,0.01731918453378689,-3523.531142857138,-0.004856483449751239,0.016164181464848236,-1872.6575333333246,1.3214964632245652,1.1495086261513614,49058.66796875,34511076995,46894.5546875,49112.78515625,46394.28125,0.04508626296557394,-0.003185280633781984,0,-0.04122830434622349,0.02630002081428562,-0.037137725293038826,0.00850947690403503,0.056115872471717454,0.07574073458615982,0.045393101758184146,0.010052659811212025,-0.024040264138062928,1.154649175956594,0.031550985839445315,-0.0003869196318748872,-0.005641259824753164,0.1936772312573747,0.030881727409039408,0.0023074375520948298,0.0871596155078298,0.31728601036303306,0.034073233696067164,0.007384174943992583,-0.10829631215502955,0.4201815699573844,0,1,-0.03151410535260112,-14974.97100000002,-1.6539917882833681,-1.7513071359306998
2021-08-28,109948.674,112844.35,-2895.6760000000068,222793.024,-0.012997157397531472,2895.6760000000068,0.012997157397531472,-1.0,-0.009335612521055617,0.024217762117023867,-3736.118333333337,-0.010457770169162323,0.01641625065435787,-4002.769999999999,-0.008202897346715607,0.01723987734325924,-3305.239857142856,-0.0054778806210959595,0.016104778240217398,-2056.4701999999925,-0.4668972564712577,-0.1137450626937834,48902.40234375,28568103401,49072.5859375,49283.50390625,48499.23828125,-0.003185280633781984,-0.0014839825657210204,0,0.04508626296557394,-0.04122830434622349,0.02630002081428562,0.004551674225862445,-0.008789842693618932,-0.01457055076832292,0.04325817476668968,0.00022422599518949019,-0.12492197561502638,-1.100349672706439,0.03137281904954175,0.00041373209095896257,-0.2960956293954451,-0.9206844836809392,0.030551216418290002,0.003120671133133468,-0.0846887643377332,-1.2917895948133487,0.034104239421325115,0.0072675681678439335,0.051568073164831585,-0.9479188724749995,0,0,0.016504425186965776,6662.292000000016,1.3214964632245652,1.1495086261513614
2021-08-29,155344.998,159760.50100000002,-4415.503000000026,315105.499,-0.014012776717679643,4415.503000000026,0.014012776717679643,-1.0,-0.0035018363094151237,0.017333370847793406,-216.29566666667233,-0.011424044320687379,0.016394942640838007,-4328.408000000001,-0.007988693709684589,0.01714035370059218,-3169.8845714285753,-0.006390238134069332,0.015772779566255907,-2453.658466666661,-0.48327173733651085,-0.2738723773687475,48829.83203125,25889650240,48911.25,49644.11328125,47925.85546875,-0.0014839825657210204,-0.0363476092875793,0,-0.003185280633781984,0.04508626296557394,-0.04122830434622349,-0.037137725293038826,0.00850947690403503,-0.0010603958689597848,0.027391677888932073,0.01347233325535698,-0.2074568455383674,-0.853622384594321,0.031169739209591846,-0.0010139049761490446,0.02044363112857539,-1.750944554219359,0.030555885016163662,0.0030904149405076653,-0.16455242324087238,-1.7095052881190407,0.032881786853976476,0.005362555261904352,-0.2171916626637579,-1.4496861954991274,1,0,-0.012997157397531472,-2895.6760000000068,-0.4668972564712577,-0.1137450626937834
2021-08-30,169917.924,181912.83,-11994.906000000015,351830.75399999996,-0.03409282975870841,11994.906000000015,0.03409282975870841,-1.0,-0.020367587957973183,0.011897250418371709,-6435.361666666683,-0.014760032642605673,0.018476427781464015,-5496.12285714286,-0.008638211525214623,0.017985981404615485,-3290.0016428571485,-0.006838737522551894,0.016371802213626305,-2591.0289666666627,-1.66469713477682,-1.2866311741010266,47054.984375,31847007016,48834.8515625,48925.60546875,46950.2734375,-0.0363476092875793,0.0023738850726162664,1,-0.0014839825657210204,-0.003185280633781984,0.04508626296557394,0.02630002081428562,0.004551674225862445,-0.02215910567498447,0.019655817311337496,-0.013672290829027434,-0.07719463462081966,1.0318515355871622,0.03368443349263509,-0.006856659763783579,-0.0716526119776516,0.06166093159255169,0.03167266151520276,0.0020769503967508923,-0.028369682842699584,-0.234606300016238,0.03357298897697534,0.0046318835395754805,0.23424399877820878,-0.18759587567897698,0,0,-0.014012776717679643,-4415.503000000026,-0.48327173733651085,-0.2738723773687475
2021-08-31,181913.89,183634.31899999996,-1720.4289999999455,365548.209,-0.004706435314527682,1720.4289999999455,0.004706435314527682,-1.0,-0.017604013930305255,0.015018747722275233,-6043.612666666663,-0.01144354305939696,0.017790997892403262,-4151.620714285716,-0.006846052996076632,0.016934841978920895,-2403.3864285714294,-0.006172370105717511,0.016022971419263943,-2247.0189999999934,0.09148957161762014,0.07428947732150558,47166.6875,34730363427,47024.33984375,48189.55078125,46750.09375,0.0023738850726162664,0.03562556399047523,1,-0.0363476092875793,-0.0014839825657210204,-0.003185280633781984,-0.04122830434622349,-0.037137725293038826,-0.028456465011732934,0.021329594996947226,-0.01181923559356135,0.21570420477350605,0.8668029768620883,0.030965256011209988,-0.0012121439972614231,-0.017838929758268507,0.9861743731115886,0.03043397954774666,0.004279118259918692,0.03823464061221826,0.4440022208751223,0.03252095537381985,0.00603333805781295,0.3013261876677642,0.42551584387117036,1,1,-0.03409282975870841,-11994.906000000015,-1.66469713477682,-1.2866311741010266
2021-09-01,175891.948,174216.426,1675.5219999999972,350108.374,0.004785723862748845,1675.5219999999972,0.004785723862748845,1.0,-0.011337847070162424,0.020269859381081102,-4013.270999999988,-0.010861879355904835,0.018313613624404205,-3951.9530000000013,-0.006586393517202872,0.017094004659553477,-2316.235285714288,-0.005507481031473282,0.016050948774028934,-1962.8079333333271,0.6412832686175497,0.5147389376716289,48847.02734375,39139399125,47099.7734375,49111.08984375,46562.4375,0.03562556399047523,0.009840830417728652,1,0.0023738850726162664,-0.0363476092875793,-0.0014839825657210204,0.04508626296557394,0.02630002081428562,0.002367765389513554,0.03602121122351846,0.0005506132585040661,0.5117778248131328,1.062018851700687,0.03250834845812462,0.00012007645647994978,0.19889051020170534,1.536760508117219,0.03155080522794137,0.006654675302844526,0.2157311765821408,1.2940615523166583,0.032590550225422184,0.007865385736444516,0.529165588177493,1.3914949999416097,0,1,-0.004706435314527682,-1720.4289999999455,0.09148957161762014,0.07428947732150558
2021-09-02,179442.573,182420.482,-2977.908999999985,361863.055,-0.00822938113977948,2977.908999999985,0.00822938113977948,-1.0,-0.0027166975305194505,0.0067318297582182095,-1007.6053333333111,-0.0075354901826446,0.015891780986929397,-2238.0869999999964,-0.007706711475938343,0.016610075878580557,-2762.926928571428,-0.005294491617046733,0.01596805281343309,-1810.0293999999928,-0.18379758365176357,-0.16702498882338343,49327.72265625,39508070319,48807.84765625,50343.421875,48652.3203125,0.009840830417728652,0.014143210068944922,1,0.03562556399047523,0.0023738850726162664,-0.0363476092875793,-0.003185280633781984,-0.04122830434622349,0.04277544261522093,0.017446498736904462,0.01594675982694005,0.24055834506366858,0.6453018380621963,0.026935049272185898,0.007415667137044541,0.20943505945610874,1.1891669006215935,0.029831394184896404,0.004302203003023649,0.06192180093225175,1.2848535384695732,0.03192807154812433,0.009085346062544202,0.508527151194291,1.402100935684511,0,1,0.004785723862748845,1675.5219999999972,0.6412832686175497,0.5147389376716289
2021-09-03,215451.423,214874.963,576.460000000021,430326.386,0.0013395878541364204,576.460000000021,0.0013395878541364204,1.0,-0.0007013564742980833,0.0067433174232439915,-241.97566666665566,-0.009701895515905936,0.012801617816538045,-3107.491571428567,-0.00930101003845227,0.014274842184614016,-3400.277999999998,-0.005339717169170535,0.015946547176247862,-1833.9162333333256,0.41885587829669346,0.34520268196875853,50025.375,43206179619,49288.25,50982.2734375,48386.0859375,0.014143210068944922,-0.0016141808032423821,0,0.009840830417728652,0.03562556399047523,0.0023738850726162664,-0.0014839825657210204,0.04508626296557394,0.056115872471717454,0.013813366027696089,0.019869868159049602,0.24404628560295305,1.1508157045531355,0.021765360593754564,0.0029952310089546813,0.25195106560307456,1.3492983732719501,0.02609923381671285,0.001304155688539897,0.24488848435413102,1.7054480238367649,0.031345112186127476,0.00816368995860568,0.7028701471346099,2.1550674411384327,0,1,-0.00822938113977948,-2977.908999999985,-0.18379758365176357,-0.16702498882338343
2021-09-04,136190.266,138766.576,-2576.3099999999977,274956.842,-0.009369870490438633,2576.3099999999977,0.009369870490438633,-1.0,-0.0054198879253605755,0.005881586826702241,-1659.2529999999872,-0.009183711672035532,0.012719148298274075,-3061.8678571428513,-0.009820740920598908,0.014123906088532954,-3532.3189285714247,-0.00553935146865942,0.01595866207857573,-1835.694833333324,-0.24002757893605808,-0.10606453954951506,49944.625,37471327794,50009.32421875,50545.58203125,49548.78125,-0.0016141808032423821,0.03621581213694158,1,0.014143210068944922,0.009840830417728652,0.03562556399047523,-0.0363476092875793,-0.003185280633781984,-0.008789842693618932,0.008144764369772909,0.007456619894477064,-0.04261872609931128,-0.8910569280323748,0.021699004822220973,0.00321967384188891,0.31164912378076703,0.26174214053029693,0.02595582059254967,0.0018167029664239362,-0.07672444907108322,0.695569123420953,0.03115935072552628,0.0071689017560306505,0.06497924574502578,0.7229139140955473,1,0,0.0013395878541364204,576.460000000021,0.41885587829669346,0.34520268196875853
2021-09-05,148048.724,140935.40000000002,7113.323999999964,288984.124,0.02461493005754172,7113.323999999964,0.02461493005754172,1.0,0.005528215807079825,0.017375273240088175,1704.491333333329,-0.0036654678470039075,0.017684888133482263,-1414.8925714285672,-0.007544756083845624,0.016870503973329044,-2871.6502857142837,-0.005155395891380476,0.016550091036009094,-1883.8429666666598,1.798801340980481,1.3014512528717201,51753.41015625,30322676319,49937.859375,51868.6796875,49538.59765625,0.03621581213694158,0.017006125728580734,1,-0.0016141808032423821,0.014143210068944922,0.009840830417728652,0.0023738850726162664,-0.0014839825657210204,0.00850947690403503,0.019002646723572648,0.016248280467548042,-0.2324941189441645,-1.034504852872797,0.024794698368811836,0.00860535879941214,0.17122773146432424,-1.3771922842415145,0.02751479893007158,0.0037957269116315473,0.1951718791739392,-0.8689281556563601,0.030714408766887757,0.006788160964679172,-0.20676259224498683,-0.9502112942330777,0,1,-0.009369870490438633,-2576.3099999999977,-0.24002757893605808,-0.10606453954951506
2021-09-06,152032.163,145702.12099999998,6330.042000000016,297734.284,0.021260709095899805,6330.042000000016,0.021260709095899805,1.0,0.012168589554334286,0.018728097751511675,3622.351999999994,0.004242180560797265,0.013749577147776732,1202.957142857152,-0.005258926040904185,0.01849401130726878,-2146.5828571428538,-0.004870288039440983,0.01693756261171422,-1920.108199999995,1.5427837956606743,1.201701561437479,52633.53515625,38884105426,51769.00390625,52700.94140625,51053.6796875,0.017006125728580734,-0.1106216071695616,0,0.03621581213694158,-0.0016141808032423821,0.014143210068944922,0.03562556399047523,-0.0363476092875793,0.004551674225862445,0.01891576165133648,0.017202585687426646,-0.10003370423196034,0.724375850655772,0.01489857823067876,0.016227320944577857,0.22096576945094237,0.3119006731154893,0.027741523635152775,0.00468533059039714,0.13348038293447928,0.8991928131206741,0.030114119538276203,0.006000958212630921,-0.028646815323656982,1.1523610720919626,1,1,0.02461493005754172,7113.323999999964,1.798801340980481,1.3014512528717201
2021-09-07,364036.276,400103.8629999999,-36067.58699999994,764140.139,-0.04720022566436592,36067.58699999994,0.04720022566436592,-1.0,-0.0004415288369748101,0.040528934063356226,-7541.406999999987,-0.0018283609177510549,0.02395338648885632,-3703.779714285705,-0.0066359519885739885,0.020875615197588578,-3927.7002142857095,-0.0063550474329846325,0.018606952182194686,-3073.314899999995,-2.195156833394066,-3.5587013333319866,46811.12890625,65210059683,52660.48046875,52853.765625,43285.20703125,-0.1106216071695616,-0.015375366885328479,0,0.017006125728580734,0.03621581213694158,-0.0016141808032423821,0.009840830417728652,0.0023738850726162664,-0.037137725293038826,0.07981131703923229,-0.019133223101346426,0.7402655182515734,1.1222410209174858,0.05067303910719669,8.510776712387726e-05,0.8776094819757787,2.1204934753675015,0.04034992503156358,-0.0005635181150687729,0.8441149383133539,3.0083432299919,0.03670870787669794,0.0028804137685398985,0.7962885130353965,4.3106473813021,0,0,0.021260709095899805,6330.042000000016,1.5427837956606743,1.201701561437479
2021-09-08,214784.769,221018.242,-6233.472999999998,435803.011,-0.014303418844437489,6233.472999999998,0.014303418844437489,-1.0,-0.013414311804301214,0.03423912645730098,-11990.339333333308,-0.004555381304491959,0.024160618152859782,-4833.636142857133,-0.0077086303301983775,0.02085470836512389,-4392.794571428566,-0.007224257403229639,0.018338042690819675,-3526.8446333333277,-0.386036915747382,-0.29830004021947654,46091.390625,49007762488,46827.76171875,47334.0546875,44561.39453125,-0.015375366885328479,0.006509485739778498,1,-0.1106216071695616,0.017006125728580734,0.03621581213694158,0.014143210068944922,0.03562556399047523,0.02630002081428562,0.06634410995824004,-0.03633028277543645,0.6162083442909043,-0.152582917700604,0.0483233184035523,-0.007200739500848081,0.2521337471605858,0.5043810333664471,0.03974843503258924,-0.0035403315221840654,0.5011712669741277,1.118145338538524,0.035293174036912456,0.00041402367006376415,0.265236290399558,1.8268664364938494,0,0,-0.04720022566436592,-36067.58699999994,-2.195156833394066,-3.5587013333319866
2021-09-09,152282.069,156733.681,-4451.612000000023,309015.75,-0.014405777051817012,4451.612000000023,0.014405777051817012,-1.0,-0.02530314052020682,0.01896350106543264,-15584.223999999987,-0.005437723577640178,0.024428450433698963,-5044.165142857138,-0.006486606880142369,0.019828475149333596,-3641.126071428567,-0.007220801349441367,0.018336632066648817,-3452.5217333333285,-0.39183726194974927,-0.11032485159376396,46391.421875,38672657013,45774.7421875,47261.94921875,45669.73828125,0.006509485739778498,-0.032495484247323514,0,-0.015375366885328479,-0.1106216071695616,0.017006125728580734,-0.0016141808032423821,0.009840830417728652,-0.04122830434622349,0.06227691652188257,-0.03982916277170386,-0.005437913787226134,-0.918847351837801,0.04814358450138294,-0.0076766458834123886,-0.021145383696409947,-0.40811900884629193,0.03828740739027702,-0.00013048937318392375,0.18386109106801896,0.03244159924031204,0.035156911468852595,0.0011920362717176705,0.15282401816412206,0.404949194270071,1,1,-0.014303418844437489,-6233.472999999998,-0.386036915747382,-0.29830004021947654
2021-09-10,167338.043,176195.026,-8856.983000000007,343533.069,-0.025782039050220248,8856.983000000007,0.025782039050220248,-1.0,-0.018163744982158263,0.006597834696424994,-6514.022666666676,-0.009312241706833988,0.025309323480424275,-6391.799857142856,-0.009507068611369943,0.019269727250200503,-4749.645714285711,-0.007964618851046304,0.01862938412708863,-3702.6004666666627,-0.9564148807939374,-0.5664500308104016,44883.91015625,39154666597,46396.6640625,47031.7421875,44344.484375,-0.032495484247323514,0.0070748487352050304,1,0.006509485739778498,-0.015375366885328479,-0.1106216071695616,0.03621581213694158,0.014143210068944922,0.04508626296557394,0.019550928693227464,-0.013787121797624499,-0.39956094523852337,-0.5355384265067041,0.04784690644403438,-0.014339316500022166,-0.09377160993466638,-0.310654799320874,0.0368260434067393,-0.005672042745533742,0.13455359862205318,0.048091686853912546,0.03569143532363355,0.00010256085051558357,0.14087990995832067,0.44694641599369034,0,0,-0.014405777051817012,-4451.612000000023,-0.39183726194974927,-0.11032485159376396
2021-09-11,97883.696,96260.419,1623.277000000002,194144.115,0.0083611960115299,1623.277000000002,0.0083611960115299,1.0,-0.010608873363502464,0.017385410070928024,-3895.1060000000093,-0.006779232206552769,0.02617506844954156,-5791.858857142856,-0.00798147193929413,0.01981006149930142,-4426.863357142854,-0.007171459506328346,0.018806123699019454,-3407.5852999999975,0.8259360496851413,0.5513471510914012,45201.45703125,34499835245,44869.83984375,45969.29296875,44818.265625,0.0070748487352050304,0.019066033632592516,1,-0.032495484247323514,0.006509485739778498,-0.015375366885328479,0.017006125728580734,-0.0016141808032423821,-0.003185280633781984,0.02268449753818533,-0.006303716590779995,-0.2960332507845548,-1.1495709795522866,0.048342201244362,-0.01309802656595825,-0.07930043379663221,-0.6675172772941997,0.036981104428376155,-0.00493917636203467,0.20763477927597962,-0.49142509813528773,0.03537827743818121,0.0011903703537740026,0.023016935903915847,-0.18346356601624034,0,1,-0.025782039050220248,-8856.983000000007,-0.9564148807939374,-0.5664500308104016
