date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2024-02-06,BITCOIN,BITCOIN,22776.0,1675.0,4964.0,309.0,12408.0,0.0,270.0,2802.0,12266.0,2648.0,679.0,1161.0,305.0,21096.0,21923.0,1680.0,853.0,297.0,100.0,176.0,-14.0,-490.0,0.0,47.0,257.0,94.0,361.0,-150.0,-566.0,32.0,143.0,131.0,154.0,166.0,7.4,21.8,1.4,54.5,0.0,1.2,12.3,53.9,11.6,3.0,5.1,1.3,92.6,96.3,7.4,3.7,115.0,8.0,7.0,5.0,19.0,0.0,0.0,25.0,37.0,24.0,10.0,8.0,7.0,89.0,65.0
2024-01-30,BITCOIN,BITCOIN,22479.0,1575.0,4788.0,323.0,12898.0,0.0,223.0,2545.0,12172.0,2287.0,830.0,1726.0,273.0,20953.0,21792.0,1526.0,687.0,-2534.0,-13.0,651.0,-788.0,300.0,-42.0,-203.0,-333.0,875.0,-1466.0,507.0,-1048.0,-301.0,-2297.0,-2322.0,-237.0,-212.0,7.0,21.3,1.4,57.4,0.0,1.0,11.3,54.1,10.2,3.7,7.7,1.2,93.2,96.9,6.8,3.1,120.0,8.0,7.0,5.0,19.0,0.0,0.0,30.0,38.0,23.0,9.0,8.0,5.0,87.0,69.0
2024-01-23,BITCOIN,BITCOIN,25013.0,1588.0,4137.0,1111.0,12598.0,42.0,425.0,2878.0,11297.0,3754.0,322.0,2775.0,574.0,23251.0,24114.0,1762.0,899.0,-497.0,-333.0,-970.0,454.0,-307.0,27.0,227.0,-639.0,-2150.0,431.0,-386.0,1205.0,183.0,-368.0,-592.0,-129.0,95.0,6.3,16.5,4.4,50.4,0.2,1.7,11.5,45.2,15.0,1.3,11.1,2.3,93.0,96.4,7.0,3.6,128.0,8.0,7.0,5.0,18.0,0.0,6.0,34.0,36.0,30.0,10.0,12.0,7.0,95.0,81.0
2024-01-16,BITCOIN,BITCOIN,25510.0,1921.0,5107.0,657.0,12905.0,15.0,198.0,3517.0,13447.0,3322.0,708.0,1569.0,391.0,23619.0,24706.0,1891.0,804.0,-3733.0,1015.0,-1173.0,-79.0,-1488.0,15.0,26.0,-38.0,-1715.0,-431.0,-2938.0,-395.0,14.0,-3921.0,-3739.0,188.0,6.0,7.5,20.0,2.6,50.6,0.1,0.8,13.8,52.7,13.0,2.8,6.2,1.5,92.6,96.8,7.4,3.2,136.0,8.0,6.0,5.0,22.0,0.0,6.0,37.0,36.0,27.0,14.0,10.0,9.0,107.0,76.0
2024-01-09,BITCOIN,BITCOIN,29243.0,906.0,6280.0,736.0,14394.0,0.0,172.0,3555.0,15162.0,3754.0,3646.0,1964.0,377.0,27540.0,28445.0,1703.0,798.0,3674.0,24.0,386.0,255.0,1601.0,0.0,1.0,266.0,1402.0,1053.0,545.0,483.0,49.0,3794.0,3630.0,-120.0,44.0,3.1,21.5,2.5,49.2,0.0,0.6,12.2,51.8,12.8,12.5,6.7,1.3,94.2,97.3,5.8,2.7,139.0,5.0,10.0,6.0,23.0,0.0,4.0,36.0,34.0,28.0,18.0,11.0,8.0,109.0,76.0
2024-01-02,BITCOIN,BITCOIN,25569.0,882.0,5894.0,481.0,12792.0,0.0,171.0,3289.0,13760.0,2700.0,3101.0,1481.0,328.0,23746.0,24816.0,1823.0,753.0,-1050.0,-94.0,-227.0,-264.0,835.0,0.0,-151.0,461.0,1061.0,-1851.0,800.0,954.0,-313.0,-577.0,-790.0,-473.0,-260.0,3.4,23.0,1.9,50.0,0.0,0.7,12.9,53.8,10.6,12.1,5.8,1.3,92.9,97.1,7.1,2.9,125.0,4.0,9.0,0.0,20.0,0.0,4.0,34.0,32.0,22.0,15.0,10.0,7.0,94.0,66.0
2023-12-26,BITCOIN,BITCOIN,26619.0,976.0,6121.0,745.0,11958.0,0.0,322.0,2829.0,12700.0,4551.0,2301.0,527.0,641.0,24322.0,25606.0,2297.0,1013.0,-1799.0,106.0,-555.0,152.0,281.0,0.0,63.0,-429.0,225.0,98.0,-474.0,-8.0,-54.0,-258.0,-79.0,-1541.0,-1720.0,3.7,23.0,2.8,44.9,0.0,1.2,10.6,47.7,17.1,8.6,2.0,2.4,91.4,96.2,8.6,3.8,128.0,5.0,9.0,4.0,20.0,0.0,5.0,30.0,36.0,27.0,15.0,11.0,12.0,98.0,78.0
2023-12-19,BITCOIN,BITCOIN,28418.0,870.0,6676.0,593.0,11677.0,0.0,259.0,3258.0,12474.0,4453.0,2775.0,535.0,696.0,24580.0,25685.0,3838.0,2733.0,3338.0,136.0,89.0,12.0,124.0,0.0,-31.0,-114.0,1010.0,114.0,902.0,124.0,151.0,1296.0,1470.0,2042.0,1868.0,3.1,23.5,2.1,41.1,0.0,0.9,11.5,43.9,15.7,9.8,1.9,2.4,86.5,90.4,13.5,9.6,126.0,5.0,10.0,0.0,18.0,0.0,4.0,30.0,34.0,26.0,16.0,12.0,13.0,94.0,78.0
2023-12-12,BITCOIN,BITCOIN,25080.0,734.0,6587.0,581.0,11552.0,0.0,289.0,3372.0,11465.0,4339.0,1873.0,411.0,544.0,23284.0,24215.0,1796.0,865.0,-2118.0,87.0,-94.0,168.0,-233.0,0.0,48.0,-1012.0,-932.0,-31.0,-1249.0,-1315.0,59.0,-2162.0,-2096.0,44.0,-22.0,2.9,26.3,2.3,46.1,0.0,1.2,13.4,45.7,17.3,7.5,1.6,2.2,92.8,96.6,7.2,3.4,127.0,5.0,11.0,0.0,19.0,0.0,4.0,31.0,36.0,24.0,12.0,13.0,12.0,94.0,76.0
2023-12-05,BITCOIN,BITCOIN,27198.0,647.0,6681.0,413.0,11785.0,0.0,241.0,4383.0,12397.0,4370.0,3122.0,1726.0,485.0,25446.0,26312.0,1752.0,886.0,1137.0,-29.0,120.0,71.0,240.0,0.0,2.0,68.0,-812.0,1233.0,-646.0,184.0,233.0,1172.0,1031.0,-35.0,106.0,2.4,24.6,1.5,43.3,0.0,0.9,16.1,45.6,16.1,11.5,6.3,1.8,93.6,96.7,6.4,3.3,138.0,5.0,12.0,0.0,20.0,0.0,4.0,34.0,40.0,27.0,12.0,15.0,11.0,98.0,85.0
