,date,symbol,spot_open,spot_high,spot_low,spot_close,spot_volume,fut_open,fut_high,fut_low,fut_close,fut_volume,basis
69,2025-05-09,BTCUSDT,103261.61,104361.3,102315.14,102971.99,27617.39907,103228.0,104373.0,102240.0,102941.9,172883.922,30.09
70,2025-05-08,BTCUSDT,97030.5,104145.76,96876.29,103261.6,34962.02847,96988.4,104305.3,96831.5,103228.1,317422.469,33.5
71,2025-05-07,BTCUSDT,96834.02,97732.0,95784.61,97030.5,16644.83854,96798.9,97700.0,95718.5,96988.4,185267.142,42.1
72,2025-05-06,BTCUSDT,94733.68,96920.65,93377.0,96834.02,16122.64513,94696.7,96879.5,93327.0,96798.9,173683.06600000002,35.12
73,2025-05-05,BTCUSDT,94277.61,95199.0,93514.1,94733.68,17251.18189,94230.2,95165.1,93445.1,94696.7,154902.375,36.98
74,2025-05-04,BTCUSDT,95856.42,96304.48,94151.38,94277.62,11036.38342,95803.3,96266.6,94116.4,94230.2,94260.877,47.42
75,2025-05-03,BTCUSDT,96887.13,96935.67,95753.01,95856.42,9723.34838,96831.2,96868.4,95700.0,95803.3,71420.629,53.12
76,2025-05-02,BTCUSDT,96489.9,97895.68,96350.0,96887.14,14905.74811,96423.2,97865.4,96283.1,96831.2,139197.52599999998,55.94
77,2025-05-01,BTCUSDT,94172.0,97424.02,94130.43,96489.91,21380.45343,94125.2,97388.0,94086.7,96423.3,184526.755,66.61
78,2025-04-30,BTCUSDT,94256.82,95228.45,92910.0,94172.0,17661.2751,94200.1,95186.5,92848.1,94125.1,170929.31,46.9
79,2025-04-29,BTCUSDT,95011.18,95461.53,93742.54,94256.82,16955.3402,94969.0,95426.4,93678.7,94200.1,147831.794,56.72
80,2025-04-28,BTCUSDT,93749.29,95630.0,92800.01,95011.18,22157.53351,93697.0,95578.8,92700.0,94969.0,194420.71600000001,42.18
81,2025-04-27,BTCUSDT,94628.0,95369.0,93602.58,93749.3,11162.841,94575.7,95280.5,93547.3,93697.1,83816.183,52.2
82,2025-04-26,BTCUSDT,94638.68,95199.0,93870.69,94628.0,9415.06875,94591.8,95157.1,93833.0,94575.7,72538.209,52.3
83,2025-04-25,BTCUSDT,93980.47,95758.04,92855.96,94638.68,27500.66648,93931.5,95769.6,92788.0,94591.8,191830.47699999998,46.88
84,2025-04-24,BTCUSDT,93691.07,94005.0,91660.01,93980.47,19497.06071,93632.2,93980.6,91619.0,93931.6,157092.728,48.87
85,2025-04-23,BTCUSDT,93442.99,94696.05,91935.41,93691.08,27404.16808,93404.9,94904.3,91898.0,93632.1,232748.428,58.98
86,2025-04-22,BTCUSDT,87516.22,93888.0,87076.03,93442.99,43872.74705,87466.0,94142.5,87017.5,93404.9,334005.081,38.09
87,2025-04-21,BTCUSDT,85179.24,88465.99,85144.76,87516.23,31773.37262,85138.9,88418.2,85100.0,87466.0,274069.87100000004,50.23
88,2025-04-20,BTCUSDT,85077.0,85320.76,83949.52,85179.24,8091.67725,85046.9,85283.6,83900.0,85138.8,90651.81800000001,40.44
89,2025-04-19,BTCUSDT,84474.7,85677.99,84364.45,85077.01,9666.58153,84421.0,85600.0,84317.2,85046.9,73380.56599999999,30.11
