https://www.CryptoDataDownload.com
Date,Total Supply,Marketcap
2024-07-10,19723781.25,1138713062907.0
2024-07-09,19723356.25,1144605533257.0
2024-07-08,19722875.0,1118484241250.0
2024-07-07,19722378.125,1101080648341.0
2024-07-06,19721937.5,1148822581313.0
2024-07-05,19721421.875,1116863563625.0
2024-07-04,19721043.75,1124986940719.0
2024-07-03,19720606.25,1186036701088.0
2024-07-02,19720153.125,1223300258804.0
2024-07-01,19719690.625,1238968442279.0
2024-06-30,19719250.0,1235923713000.0
2024-06-29,19718871.875,1200465200879.0
2024-06-28,19718381.25,1189314165094.0
2024-06-27,19717959.375,1215060092607.0
2024-06-26,19717553.125,1198965252872.0
2024-06-25,19717175.0,1218304526075.0
2024-06-24,19716787.5,1187975880450.0
2024-06-23,19716312.5,1245163999625.0
2024-06-22,19715962.5,1266415419263.0
2024-06-21,19715487.5,1263802179725.0
2024-06-20,19715050.0,1278422417250.0
2024-06-19,19714634.375,1280386644119.0
2024-06-18,19714206.25,1284281966157.0
2024-06-17,19713731.25,1310470284844.0
2024-06-16,19713293.75,1313339056213.0
2024-06-15,19712784.375,1304631495507.0
2024-06-14,19712365.625,1300937281788.0
2024-06-13,19711965.625,1315438602054.0
2024-06-12,19711512.5,1345172747538.0
2024-06-11,19711056.25,1326672351963.0
2024-06-10,19710671.875,1369911405985.0
2024-06-09,19710237.5,1372620939500.0
2024-06-08,19709759.375,1366004583244.0
2024-06-07,19709221.875,1366361515707.0
2024-06-06,19708778.125,1394888771797.0
2024-06-05,19708362.5,1401639032638.0
2024-06-04,19707978.125,1390673768413.0
2024-06-03,19707559.375,1355899792560.0
2024-06-02,19707068.75,1335193321950.0
2024-06-01,19706631.25,1334592188144.0
2024-05-31,19706190.625,1329714624804.0
2024-05-30,19705728.125,1346650048607.0
2024-05-29,19705343.75,1331371845125.0
2024-05-28,19704915.625,1346377769910.0
2024-05-27,19704496.875,1367334447150.0
2024-05-26,19704112.5,1349514961013.0
2024-05-25,19703587.5,1364966024063.0
2024-05-24,19703087.5,1350607241950.0
2024-05-23,19702587.5,1338692307688.0
2024-05-22,19702059.375,1361766939882.0
2024-05-21,19701581.25,1381790102550.0
2024-05-20,19701150.0,1406681811150.0
2024-05-19,19700662.5,1305661407188.0
2024-05-18,19700181.25,1318533131063.0
2024-05-17,19699781.25,1320929432157.0
2024-05-16,19699296.875,1285418519688.0
2024-05-15,19698853.125,1304891428707.0
2024-05-14,19698412.5,1212299400488.0
2024-05-13,19697987.5,1239673145325.0
2024-05-12,19697528.125,1210649473619.0
2024-05-11,19697115.625,1197899783850.0
2024-05-10,19696618.75,1197416543669.0
2024-05-09,19696165.625,1242335646797.0
2024-05-08,19695712.5,1205003386463.0
2024-05-07,19695315.625,1227412069750.0
2024-05-06,19694934.375,1244010834863.0
2024-05-05,19694553.125,1260864985616.0
2024-05-04,19694118.75,1258434494007.0
2024-05-03,19693678.125,1239027759235.0
2024-05-02,19693275.0,1163852859225.0
