candidate_id,horizon_h,rule_text,family,side,feature_family,n_conditions,fires_train,episodes_train,indep_windows,low_power,ctx_drop1h_pct,ctx_rvol,ctx_funding,fwd_rvol,mfe_pct,mae_pct,gross_train,net_train,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,status,shadow_eligible,train_status,net_train_ci_lo,val_episodes,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,run_id,audit_hash
btc_compression_pure_atr24lo10_4h_long_v2,4,klines__atr__24h<=0.00423087,compression_pure,long,atr24,1,5957,231,14927,False,0.007,0.00189,6.6e-05,0.00224,0.222,-0.194,0.00022245828059893594,-0.001778,0.5902,0.56625,1.0,0.6513,0.000222,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,5807bb2428871122
btc_compression_pure_bbw24lo10_4h_long_v2,4,klines__bbw__24h<=0.012028,compression_pure,long,bbw24,1,5957,409,14927,False,0.0,0.00199,7e-05,0.00243,0.237,-0.219,0.00015627511054628143,-0.001844,0.67316,0.63894,1.0,0.70009,0.000156,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,38da2ce2350d0b2c
btc_compression_pure_range24lo10__volz24lo10_4h_long_v2,4,klines__range__24h<=0.0182623 AND klines__volz__24h<=-0.96611,compression_pure,long,range24+volz24,2,829,503,14927,False,0.004,0.00193,6.7e-05,0.00213,0.223,-0.18,0.0003082440940788924,-0.001692,0.47576,0.49554,0.9995,0.65104,0.000308,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,8507a004f5fe0408
btc_volume_capitulation_reversal_ret1lo10__volz24hi10_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND klines__volz__24h>=1.40664,volume_capitulation_reversal,long,ret1+volz24,2,1778,1529,14927,False,-1.837,0.0081,0.000167,0.00888,0.821,-0.712,0.000723374395193935,-0.001277,0.14243,0.15046,0.92104,0.21783,0.000723,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,25d2228dff6b20ca
btc_volume_capitulation_reversal_ret24lo10__volz24hi10_4h_long_v2,4,klines__ret__24h<=-0.0379468 AND klines__volz__24h>=1.40664,volume_capitulation_reversal,long,ret24+volz24,2,773,555,14927,False,-1.473,0.01129,0.00017,0.01327,1.266,-0.958,0.0022826060943785557,0.000283,0.0015,0.00321,0.01799,0.00325,0.002283,COST_FAIL,False,INFORMATION_PASS,-0.001984,,,,,,,,c7e3b83a3f4f,7a0e015a3a68402f
btc_volume_capitulation_reversal_ret1lo10__range24hi10_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND klines__range__24h>=0.100544,volume_capitulation_reversal,long,range24+ret1,2,1688,1261,14927,False,-1.986,0.01788,0.000184,0.01668,1.856,-1.116,0.005372609363541437,0.003373,0.0005,3e-05,0.0005,0.00144,0.005373,SHADOW_ELIGIBLE,True,INFORMATION_PASS,0.001457,30.0,0.007251,0.0005,0.00035,-0.004092,0.82759,21.0,c7e3b83a3f4f,f99cc3f58036adaf
btc_crowded_unwind_short_trend30dloT__volz24hi10_4h_short_v2,4,trend30d<=-0.0481183 AND klines__volz__24h>=1.40664,crowded_unwind_short,short,trend30d+volz24,2,1916,1344,14927,False,-0.255,0.00724,5.3e-05,0.00766,0.704,-0.662,-0.00020293374298990054,-0.002203,0.4078,0.40906,0.88806,1.0,0.000203,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,92128d29903c606e
btc_crowded_unwind_short_range24hi10__trend30dloT_4h_short_v2,4,klines__range__24h>=0.100544 AND trend30d<=-0.0481183,crowded_unwind_short,short,range24+trend30d,2,2626,156,14927,False,-0.076,0.01699,-2.7e-05,0.01438,1.318,-1.307,-0.0003575333567672881,-0.002358,0.56172,0.53388,0.96602,1.0,0.000358,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,f86d6752388f3371
btc_crowded_unwind_short_atr24hi10__ret1lo10_4h_short_v2,4,klines__atr__24h>=0.0185663 AND klines__ret__1h<=-0.00669654,crowded_unwind_short,short,atr24+ret1,2,1789,1306,14927,False,-1.909,0.01805,0.000203,0.01684,1.78,-1.252,-0.00390748988339038,-0.005907,1.0,0.99998,1.0,1.0,0.003907,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,81acaa03bf198911
btc_regime_reversal_uptrend_ret1lo10__trend7dhiT_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND trend7d>=0.0380164,regime_reversal_uptrend,long,ret1+trend7d,2,1901,1615,14927,False,-1.346,0.01009,0.000352,0.0089,0.939,-0.695,0.0019705738883533043,-2.9e-05,0.0005,0.00289,0.04948,0.00144,0.001971,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,0aa6342cdaa33fdd
