candidate_id,rule_text,feature_family,n_conditions,horizon,side,fires_train,episodes_train,gross_train,net_train,p_iid,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,audit_hash,train_status,net_train_ci_lo,val_episodes,val_gross,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,status,shadow_eligible,reason
btc_ntaklo10_24h_long_v1,nettaker__net__1d<=-12941.8,ntak,1,24h,long,4224,150,0.002913059027698864,0.000913,0.02433,0.2989,0.32455,1.0,0.5027,0.002913,05123738390f,,,,,,,,,,,MCPT_FAIL,False,p_block 0.2989 p_epis 0.32455 q_fdr 0.5027
btc_ntakhi10_24h_long_v1,nettaker__net__1d>=11397.2,ntak,1,24h,long,4223,130,0.0046781025986976105,0.002678,0.00033,0.07964,0.10779,0.999,0.17859,0.004678,3cc11875599d,,,,,,,,,,,MCPT_FAIL,False,p_block 0.07964 p_epis 0.10779 q_fdr 0.17859
btc_ntaklo20_24h_long_v1,nettaker__net__1d<=-7677.52,ntak,1,24h,long,8445,245,0.0012564733213854358,-0.000744,0.91236,0.63712,0.62802,1.0,0.78578,0.001256,00861f44991f,,,,,,,,,,,MCPT_FAIL,False,p_block 0.63712 p_epis 0.62802 q_fdr 0.78578
btc_ntakhi20_24h_long_v1,nettaker__net__1d>=5500.73,ntak,1,24h,long,8422,215,0.004375844924044172,0.002376,0.00033,0.03599,0.05396,0.99967,0.12105,0.004376,3d0b9c6e3e4e,,,,,,,,,,,MCPT_FAIL,False,p_block 0.03599 p_epis 0.05396 q_fdr 0.12105
btc_fundlo10__ret24lo10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__ret__24h<=-0.0379572,fund+ret24,2,24h,long,643,118,0.019702308700311044,0.017702,0.00033,0.00033,0.00057,0.02366,0.00493,0.019702,930668239168,INFORMATION_PASS,0.009114,7.0,0.01730916844137931,0.015309,0.07878,0.08264,0.018704,0.0008,12.0,VAL_FAIL,False,val net 153bps p 0.07878/0.08264
btc_fundlo10__ret24hi10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__ret__24h>=0.042982,fund+ret24,2,24h,long,338,84,0.010086229086982246,0.008086,0.00033,0.05998,0.07944,0.57614,0.15305,0.010086,142050292fe5,,,,,,,,,,,MCPT_FAIL,False,p_block 0.05998 p_epis 0.07944 q_fdr 0.15305
btc_fundhi10__ret24lo10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__ret__24h<=-0.0379572,fund+ret24,2,24h,long,356,81,0.0018596188943820222,-0.00014,0.48284,0.4915,0.48884,1.0,0.66129,0.00186,d1ca6367fb32,,,,,,,,,,,MCPT_FAIL,False,p_block 0.4915 p_epis 0.48884 q_fdr 0.66129
btc_fundhi10__ret24hi10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__ret__24h>=0.042982,fund+ret24,2,24h,long,715,123,0.0009522702534265732,-0.001048,0.71609,0.57547,0.54702,1.0,0.73423,0.000952,fecc6ad3d630,,,,,,,,,,,MCPT_FAIL,False,p_block 0.57547 p_epis 0.54702 q_fdr 0.73423
btc_fundlo10__ret1lo10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__ret__1h<=-0.0066951,fund+ret1,2,24h,long,444,368,0.014791921720495496,0.012792,0.00033,0.00033,7e-05,0.15195,0.00493,0.014792,75da124201f1,INFORMATION_PASS,0.006463,39.0,0.018232392862790693,0.016232,0.0014,0.00092,0.007371,0.0004,80.0,SHADOW_ELIGIBLE,True,passed effect+cost+val
btc_fundlo10__ret1hi10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__ret__1h>=0.00692051,fund+ret1,2,24h,long,514,400,0.014211594208949416,0.012212,0.00033,0.00033,0.00069,0.18094,0.00493,0.014212,15b9a4c9ea67,INFORMATION_PASS,0.005233,38.0,0.0035151860444444447,0.001515,0.36773,0.38526,0.003861,0.0168,88.0,VAL_FAIL,False,val net 15bps p 0.36773/0.38526
btc_fundhi10__ret1lo10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__ret__1h<=-0.0066951,fund+ret1,2,24h,long,595,476,0.002102483417983194,0.000102,0.41519,0.45085,0.44074,1.0,0.64159,0.002102,2b2b4ec51592,,,,,,,,,,,MCPT_FAIL,False,p_block 0.45085 p_epis 0.44074 q_fdr 0.64159
btc_fundhi10__ret1hi10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__ret__1h>=0.00692051,fund+ret1,2,24h,long,609,491,0.0036929527898193763,0.001693,0.09663,0.25092,0.27253,1.0,0.4642,0.003693,26a28373817c,,,,,,,,,,,MCPT_FAIL,False,p_block 0.25092 p_epis 0.27253 q_fdr 0.4642
btc_fundlo10__rvollo10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__rvol__24h<=0.00235633,fund+rvol,2,24h,long,256,38,0.001337204901171875,-0.000663,0.57581,0.54349,0.51349,1.0,0.70558,0.001337,c6a3fabf3d19,,,,,,,,,,,MCPT_FAIL,False,p_block 0.54349 p_epis 0.51349 q_fdr 0.70558
btc_fundlo10__rvolhi10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__rvol__24h>=0.0122284,fund+rvol,2,24h,long,545,44,0.014624856415229358,0.012625,0.00033,0.01333,0.02115,0.16095,0.05617,0.014625,71dbd8987c22,,,,,,,,,,,MCPT_FAIL,False,p_block 0.01333 p_epis 0.02115 q_fdr 0.05617
btc_fundhi10__rvollo10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__rvol__24h<=0.00235633,fund+rvol,2,24h,long,20,1,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 20/episodes 1 < min
btc_fundhi10__rvolhi10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__rvol__24h>=0.0122284,fund+rvol,2,24h,long,422,40,0.011062535629146919,0.009063,0.00033,0.05698,0.08699,0.44385,0.15305,0.011063,242f644831c2,,,,,,,,,,,MCPT_FAIL,False,p_block 0.05698 p_epis 0.08699 q_fdr 0.15305
btc_fundlo10__tkbuylo10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__takerbuyfrac__1h<=0.433034,fund+tkbuy,2,24h,long,298,242,0.010014925144630872,0.008015,0.00033,0.01366,0.01282,0.58447,0.05617,0.010015,cc0ae077bac3,,,,,,,,,,,MCPT_FAIL,False,p_block 0.01366 p_epis 0.01282 q_fdr 0.05617
