date,target_up,pred,prob_up,next_return,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2024-03-14,0,0,0.08230285251906791,-0.027911980219644583,-1,0.0,0.0,0.027911980219644583,-0.027911980219644583,3.173688269686996,1.5713825183824621
2024-03-15,0,0,0.04261160860771851,-0.05891115205258901,-1,0.0,0.0,0.05891115205258901,-0.05891115205258901,3.3606539019100445,1.4788105639092526
2024-03-16,1,1,0.8905675922885351,0.04708722796395115,1,2.0,0.001,0.04608722796395115,0.04708722796395115,3.515537124395315,1.5484436540475468
2024-03-17,0,1,0.5378747604874097,-0.0123120859035869,0,1.0,0.0005,-0.0005,-0.0123120859035869,3.5137793558331176,1.5293790827620495
2024-03-18,0,0,0.05983017894721986,-0.08343356981432348,-1,1.0,0.0005,0.08293356981432348,-0.08343356981432348,3.805189621352232,1.401777526287856
2024-03-19,1,1,0.9621920114312206,0.09692504638897836,1,2.0,0.001,0.09592504638897836,0.09692504638897836,4.1702026122993034,1.5376448780503338
2024-03-20,0,0,0.35642875367030086,-0.03566706353999505,-1,2.0,0.001,0.03466706353999505,-0.03566706353999505,4.314771291234536,1.4828016004829645
2024-03-21,0,0,0.0645028003939521,-0.02615044343853401,-1,0.0,0.0,0.02615044343853401,-0.02615044343853401,4.427604473836175,1.4440256810989671
2024-03-22,1,0,0.4930671957925229,0.004444134671348854,0,1.0,0.0005,-0.0005,0.004444134671348854,4.425390671599257,1.4504431256946573
2024-03-23,1,1,0.9893318479539011,0.04951388799118828,1,1.0,0.0005,0.049013887991188276,0.04951388799118828,4.642296274294273,1.5222602041578916
2024-03-24,1,1,0.9121776087827355,0.04052464020923141,1,0.0,0.0,0.04052464020923141,0.04052464020923141,4.830423660554703,1.5839492512362214
2024-03-25,1,0,0.4851372464894535,0.00041486463910467286,0,1.0,0.0005,-0.0005,0.00041486463910467286,4.828008448724426,1.5846063757706956
2024-03-26,0,0,0.4508147763411612,-0.007608353371227561,0,0.0,0.0,-0.0,-0.007608353371227561,4.828008448724426,1.572550130509532
2024-03-27,1,1,0.8619859679798729,0.018567460837021654,1,1.0,0.0005,0.018067460837021654,0.018567460837021654,4.915238302292565,1.601748393472021
