date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2019-12-10,BITCOIN,BITCOIN,3232.0,131.0,0.0,0.0,56.0,285.0,1.0,1069.0,1766.0,109.0,310.0,396.0,12.0,1688.0,2569.0,1544.0,663.0,249.0,0.0,0.0,0.0,-37.0,29.0,-10.0,175.0,509.0,92.0,3.0,-242.0,-32.0,191.0,346.0,58.0,-97.0,4.1,0.0,0.0,1.7,8.8,0.0,33.1,54.6,3.4,9.6,12.3,0.4,52.2,79.5,47.8,20.5,43.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,14.0,0.0,8.0,0.0,0.0,24.0,23.0
2019-12-03,BITCOIN,BITCOIN,2983.0,131.0,0.0,0.0,93.0,256.0,11.0,894.0,1257.0,17.0,307.0,638.0,44.0,1497.0,2223.0,1486.0,760.0,-571.0,93.0,0.0,0.0,37.0,-42.0,10.0,-261.0,-412.0,-246.0,-27.0,12.0,6.0,-388.0,-672.0,-183.0,101.0,4.4,0.0,0.0,3.1,8.6,0.4,30.0,42.1,0.6,10.3,21.4,1.5,50.2,74.5,49.8,25.5,39.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,10.0,0.0,8.0,0.0,0.0,25.0,19.0
2019-11-26,BITCOIN,BITCOIN,3554.0,38.0,0.0,0.0,56.0,298.0,1.0,1155.0,1669.0,263.0,334.0,626.0,38.0,1885.0,2895.0,1669.0,659.0,397.0,0.0,0.0,0.0,-11.0,6.0,1.0,96.0,-245.0,179.0,-132.0,292.0,-3.0,130.0,230.0,267.0,167.0,1.1,0.0,0.0,1.6,8.4,0.0,32.5,47.0,7.4,9.4,17.6,1.1,53.0,81.5,47.0,18.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,9.0,0.0,0.0,25.0,24.0
2019-11-19,BITCOIN,BITCOIN,3157.0,38.0,0.0,0.0,67.0,292.0,0.0,1059.0,1914.0,84.0,466.0,334.0,41.0,1755.0,2665.0,1402.0,492.0,66.0,6.0,0.0,0.0,-32.0,149.0,-10.0,147.0,-129.0,-3.0,-170.0,-24.0,0.0,-62.0,-17.0,128.0,83.0,1.2,0.0,0.0,2.1,9.2,0.0,33.5,60.6,2.7,14.8,10.6,1.3,55.6,84.4,44.4,15.6,45.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,14.0,4.0,12.0,0.0,0.0,28.0,23.0
2019-11-12,BITCOIN,BITCOIN,3091.0,32.0,0.0,0.0,99.0,143.0,10.0,912.0,2043.0,87.0,636.0,358.0,41.0,1817.0,2682.0,1274.0,409.0,-429.0,0.0,0.0,0.0,-89.0,-6.0,0.0,-309.0,-302.0,-47.0,41.0,-99.0,-2.0,-406.0,-456.0,-23.0,27.0,1.0,0.0,0.0,3.2,4.6,0.3,29.5,66.1,2.8,20.6,11.6,1.3,58.8,86.8,41.2,13.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,14.0,0.0,0.0,30.0,21.0
2019-11-05,BITCOIN,BITCOIN,3520.0,32.0,0.0,0.0,188.0,149.0,10.0,1221.0,2345.0,134.0,595.0,457.0,43.0,2223.0,3138.0,1297.0,382.0,365.0,-1.0,0.0,0.0,-72.0,63.0,10.0,265.0,329.0,31.0,26.0,12.0,-6.0,253.0,439.0,112.0,-74.0,0.9,0.0,0.0,5.3,4.2,0.3,34.7,66.6,3.8,16.9,13.0,1.2,63.2,89.1,36.8,10.9,47.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,12.0,0.0,13.0,0.0,0.0,32.0,21.0
2019-10-29,BITCOIN,BITCOIN,3155.0,33.0,0.0,0.0,260.0,86.0,0.0,956.0,2016.0,103.0,569.0,445.0,49.0,1970.0,2699.0,1185.0,456.0,62.0,-26.0,0.0,0.0,97.0,55.0,0.0,6.0,302.0,-45.0,248.0,-73.0,-19.0,261.0,220.0,-199.0,-158.0,1.0,0.0,0.0,8.2,2.7,0.0,30.3,63.9,3.3,18.0,14.1,1.6,62.4,85.5,37.6,14.5,46.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,15.0,0.0,12.0,0.0,0.0,29.0,21.0
2019-10-22,BITCOIN,BITCOIN,3093.0,59.0,0.0,0.0,163.0,31.0,0.0,950.0,1714.0,148.0,321.0,518.0,68.0,1709.0,2479.0,1384.0,614.0,-351.0,0.0,0.0,0.0,-47.0,-118.0,-1.0,-236.0,-317.0,-6.0,-49.0,7.0,22.0,-317.0,-413.0,-34.0,62.0,1.9,0.0,0.0,5.3,1.0,0.0,30.7,55.4,4.8,10.4,16.7,2.2,55.3,80.1,44.7,19.9,39.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,8.0,0.0,0.0,24.0,20.0
2019-10-15,BITCOIN,BITCOIN,3444.0,59.0,0.0,0.0,210.0,149.0,1.0,1186.0,2031.0,154.0,370.0,511.0,46.0,2026.0,2892.0,1418.0,552.0,109.0,0.0,0.0,0.0,70.0,11.0,1.0,-25.0,-17.0,75.0,-25.0,-15.0,-10.0,86.0,45.0,23.0,64.0,1.7,0.0,0.0,6.1,4.3,0.0,34.4,59.0,4.5,10.7,14.8,1.3,58.8,84.0,41.2,16.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,9.0,0.0,0.0,26.0,23.0
2019-10-08,BITCOIN,BITCOIN,3335.0,59.0,0.0,0.0,140.0,138.0,0.0,1211.0,2048.0,79.0,395.0,526.0,56.0,1940.0,2847.0,1395.0,488.0,-13.0,0.0,0.0,0.0,70.0,107.0,-30.0,-87.0,-15.0,37.0,21.0,-46.0,-9.0,2.0,44.0,-15.0,-57.0,1.8,0.0,0.0,4.2,4.1,0.0,36.3,61.4,2.4,11.8,15.8,1.7,58.2,85.4,41.8,14.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,10.0,0.0,0.0,24.0,25.0
2019-10-01,BITCOIN,BITCOIN,3348.0,59.0,0.0,0.0,70.0,31.0,30.0,1298.0,2063.0,42.0,374.0,572.0,65.0,1938.0,2803.0,1410.0,545.0,-830.0,-13.0,-50.0,0.0,28.0,-69.0,-25.0,-353.0,-447.0,-129.0,-114.0,-115.0,-6.0,-612.0,-841.0,-218.0,11.0,1.8,0.0,0.0,2.1,0.9,0.9,38.8,61.6,1.3,11.2,17.1,1.9,57.9,83.7,42.1,16.3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,10.0,0.0,0.0,25.0,22.0
2019-09-24,BITCOIN,BITCOIN,4178.0,72.0,50.0,0.0,42.0,100.0,55.0,1651.0,2510.0,171.0,488.0,687.0,71.0,2550.0,3644.0,1628.0,534.0,4.0,41.0,0.0,0.0,-220.0,-101.0,55.0,-37.0,256.0,7.0,-33.0,-406.0,16.0,-171.0,-173.0,175.0,177.0,1.7,1.2,0.0,1.0,2.4,1.3,39.5,60.1,4.1,11.7,16.4,1.7,61.0,87.2,39.0,12.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,0.0,11.0,0.0,0.0,27.0,29.0
2019-09-17,BITCOIN,BITCOIN,4174.0,31.0,50.0,0.0,262.0,201.0,0.0,1688.0,2254.0,164.0,521.0,1093.0,55.0,2721.0,3817.0,1453.0,357.0,46.0,0.0,0.0,0.0,18.0,11.0,0.0,-4.0,21.0,22.0,41.0,142.0,-56.0,21.0,140.0,25.0,-94.0,0.7,1.2,0.0,6.3,4.8,0.0,40.4,54.0,3.9,12.5,26.2,1.3,65.2,91.4,34.8,8.6,49.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,16.0,5.0,12.0,0.0,0.0,31.0,25.0
2019-09-10,BITCOIN,BITCOIN,4128.0,31.0,50.0,0.0,244.0,190.0,0.0,1692.0,2233.0,142.0,480.0,951.0,111.0,2700.0,3677.0,1428.0,451.0,-365.0,0.0,0.0,0.0,-80.0,27.0,0.0,-287.0,-234.0,106.0,59.0,-270.0,-7.0,-209.0,-378.0,-156.0,13.0,0.8,1.2,0.0,5.9,4.6,0.0,41.0,54.1,3.4,11.6,23.0,2.7,65.4,89.1,34.6,10.9,48.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,4.0,12.0,0.0,0.0,30.0,25.0
2019-09-03,BITCOIN,BITCOIN,4493.0,31.0,50.0,0.0,324.0,163.0,0.0,1979.0,2467.0,36.0,421.0,1221.0,118.0,2909.0,4055.0,1584.0,438.0,402.0,31.0,0.0,0.0,87.0,-59.0,0.0,240.0,374.0,23.0,112.0,90.0,50.0,543.0,478.0,-141.0,-76.0,0.7,1.1,0.0,7.2,3.6,0.0,44.0,54.9,0.8,9.4,27.2,2.6,64.7,90.3,35.3,9.7,51.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,19.0,0.0,10.0,4.0,0.0,29.0,27.0
2019-08-27,BITCOIN,BITCOIN,4091.0,0.0,50.0,0.0,237.0,222.0,0.0,1739.0,2093.0,13.0,309.0,1131.0,68.0,2366.0,3577.0,1725.0,514.0,-394.0,0.0,0.0,0.0,-29.0,-2.0,-5.0,-97.0,-116.0,0.0,-154.0,-219.0,-138.0,-423.0,-480.0,29.0,86.0,0.0,1.2,0.0,5.8,5.4,0.0,42.5,51.2,0.3,7.6,27.6,1.7,57.8,87.4,42.2,12.6,38.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,6.0,0.0,0.0,23.0,21.0
2019-08-20,BITCOIN,BITCOIN,4485.0,0.0,50.0,0.0,266.0,224.0,5.0,1836.0,2209.0,13.0,463.0,1350.0,206.0,2789.0,4057.0,1696.0,428.0,-244.0,0.0,0.0,0.0,44.0,0.0,5.0,-166.0,-271.0,-7.0,-184.0,4.0,116.0,-192.0,-153.0,-52.0,-91.0,0.0,1.1,0.0,5.9,5.0,0.1,40.9,49.3,0.3,10.3,30.1,4.6,62.2,90.5,37.8,9.5,43.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,12.0,0.0,9.0,4.0,5.0,27.0,24.0
2019-08-13,BITCOIN,BITCOIN,4729.0,0.0,50.0,0.0,222.0,224.0,0.0,2002.0,2480.0,20.0,647.0,1346.0,90.0,2981.0,4210.0,1748.0,519.0,37.0,0.0,50.0,0.0,-38.0,0.0,0.0,155.0,216.0,-15.0,-66.0,-240.0,53.0,89.0,64.0,-52.0,-27.0,0.0,1.1,0.0,4.7,4.7,0.0,42.3,52.4,0.4,13.7,28.5,1.9,63.0,89.0,37.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,12.0,0.0,0.0,30.0,20.0
2019-08-06,BITCOIN,BITCOIN,4692.0,0.0,0.0,0.0,260.0,224.0,0.0,1847.0,2264.0,35.0,713.0,1586.0,37.0,2892.0,4146.0,1800.0,546.0,390.0,-60.0,0.0,0.0,9.0,77.0,0.0,4.0,-24.0,29.0,180.0,306.0,-49.0,113.0,339.0,277.0,51.0,0.0,0.0,0.0,5.5,4.8,0.0,39.4,48.3,0.7,15.2,33.8,0.8,61.6,88.4,38.4,11.6,42.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,13.0,0.0,13.0,0.0,0.0,29.0,16.0
2019-07-30,BITCOIN,BITCOIN,4302.0,60.0,0.0,0.0,251.0,147.0,0.0,1843.0,2288.0,6.0,533.0,1280.0,86.0,2779.0,3807.0,1523.0,495.0,-626.0,20.0,0.0,0.0,149.0,36.0,-53.0,-365.0,-511.0,-53.0,-149.0,-90.0,14.0,-437.0,-657.0,-189.0,31.0,1.4,0.0,0.0,5.8,3.4,0.0,42.8,53.2,0.1,12.4,29.8,2.0,64.6,88.5,35.4,11.5,45.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,15.0,0.0,10.0,0.0,0.0,29.0,20.0
2019-07-23,BITCOIN,BITCOIN,4928.0,40.0,0.0,0.0,102.0,111.0,53.0,2208.0,2799.0,59.0,682.0,1370.0,72.0,3216.0,4464.0,1712.0,464.0,-394.0,1.0,0.0,0.0,-109.0,-40.0,53.0,-358.0,-595.0,-61.0,176.0,213.0,-19.0,-317.0,-449.0,-77.0,55.0,0.8,0.0,0.0,2.1,2.3,1.1,44.8,56.8,1.2,13.8,27.8,1.5,65.3,90.6,34.7,9.4,43.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,4.0,12.0,0.0,0.0,33.0,17.0
2019-07-16,BITCOIN,BITCOIN,5322.0,39.0,0.0,0.0,211.0,151.0,0.0,2566.0,3394.0,120.0,506.0,1157.0,91.0,3533.0,4913.0,1789.0,409.0,-753.0,-18.0,0.0,0.0,-38.0,42.0,-15.0,-667.0,-336.0,-16.0,-119.0,-554.0,61.0,-812.0,-818.0,59.0,65.0,0.7,0.0,0.0,4.0,2.8,0.0,48.2,63.8,2.3,9.5,21.7,1.7,66.4,92.3,33.6,7.7,51.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,4.0,10.0,0.0,0.0,34.0,24.0
2019-07-09,BITCOIN,BITCOIN,6075.0,57.0,0.0,0.0,249.0,109.0,15.0,3233.0,3730.0,136.0,625.0,1711.0,30.0,4345.0,5731.0,1730.0,344.0,236.0,21.0,0.0,0.0,61.0,-37.0,-15.0,-20.0,404.0,-26.0,20.0,-101.0,0.0,41.0,225.0,195.0,11.0,0.9,0.0,0.0,4.1,1.8,0.2,53.2,61.4,2.2,10.3,28.2,0.5,71.5,94.3,28.5,5.7,56.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0,19.0,0.0,11.0,0.0,0.0,38.0,23.0
2019-07-02,BITCOIN,BITCOIN,5839.0,36.0,0.0,0.0,188.0,146.0,30.0,3253.0,3326.0,162.0,605.0,1812.0,30.0,4304.0,5506.0,1535.0,333.0,-182.0,36.0,0.0,0.0,-122.0,146.0,5.0,160.0,80.0,-204.0,115.0,-155.0,30.0,20.0,-98.0,-202.0,-84.0,0.6,0.0,0.0,3.2,2.5,0.5,55.7,57.0,2.8,10.4,31.0,0.5,73.7,94.3,26.3,5.7,54.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,6.0,11.0,0.0,0.0,38.0,24.0
2019-06-25,BITCOIN,BITCOIN,6021.0,0.0,0.0,0.0,310.0,0.0,25.0,3093.0,3246.0,366.0,490.0,1967.0,0.0,4284.0,5604.0,1737.0,417.0,630.0,0.0,0.0,0.0,-44.0,0.0,25.0,529.0,335.0,-125.0,8.0,346.0,0.0,393.0,581.0,237.0,49.0,0.0,0.0,0.0,5.1,0.0,0.4,51.4,53.9,6.1,8.1,32.7,0.0,71.2,93.1,28.8,6.9,49.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,14.0,6.0,10.0,0.0,0.0,39.0,17.0
2019-06-18,BITCOIN,BITCOIN,5391.0,0.0,0.0,0.0,354.0,0.0,0.0,2564.0,2911.0,491.0,482.0,1621.0,0.0,3891.0,5023.0,1500.0,368.0,957.0,0.0,0.0,0.0,-5.0,0.0,0.0,491.0,-133.0,235.0,120.0,870.0,-24.0,817.0,948.0,140.0,9.0,0.0,0.0,0.0,6.6,0.0,0.0,47.6,54.0,9.1,8.9,30.1,0.0,72.2,93.2,27.8,6.8,48.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,14.0,6.0,10.0,0.0,0.0,36.0,18.0
2019-06-11,BITCOIN,BITCOIN,4434.0,0.0,0.0,0.0,359.0,0.0,0.0,2073.0,3044.0,256.0,362.0,751.0,24.0,3074.0,4075.0,1360.0,359.0,-2.0,0.0,0.0,0.0,59.0,-56.0,0.0,-248.0,346.0,45.0,149.0,-292.0,24.0,29.0,67.0,-31.0,-69.0,0.0,0.0,0.0,8.1,0.0,0.0,46.8,68.7,5.8,8.2,16.9,0.5,69.3,91.9,30.7,8.1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,5.0,7.0,0.0,0.0,29.0,20.0
2019-06-04,BITCOIN,BITCOIN,4436.0,0.0,0.0,0.0,300.0,56.0,0.0,2321.0,2698.0,211.0,213.0,1043.0,0.0,3045.0,4008.0,1391.0,428.0,-754.0,0.0,-123.0,0.0,-19.0,56.0,0.0,-388.0,-65.0,-160.0,-25.0,-534.0,0.0,-592.0,-826.0,-162.0,72.0,0.0,0.0,0.0,6.8,1.3,0.0,52.3,60.8,4.8,4.8,23.5,0.0,68.6,90.4,31.4,9.6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,4.0,5.0,0.0,0.0,25.0,21.0
