,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
138,1747324800000,2025-05-15T16:00:00,BTCUSDT,8,1.439e-05
139,1747296000003,2025-05-15T08:00:00,BTCUSDT,8,5.336e-05
140,1747267200000,2025-05-15T00:00:00,BTCUSDT,8,2.978e-05
141,1747238400002,2025-05-14T16:00:00,BTCUSDT,8,3.175e-05
142,1747209600000,2025-05-14T08:00:00,BTCUSDT,8,7.542e-05
143,1747180800007,2025-05-14T00:00:00,BTCUSDT,8,9.921e-05
144,1747152000001,2025-05-13T16:00:00,BTCUSDT,8,7.256e-05
145,1747123200008,2025-05-13T08:00:00,BTCUSDT,8,0.0001
146,1747094400000,2025-05-13T00:00:00,BTCUSDT,8,6.847e-05
147,1747065600000,2025-05-12T16:00:00,BTCUSDT,8,2.301e-05
148,1747036800000,2025-05-12T08:00:00,BTCUSDT,8,0.0001
149,1747008000004,2025-05-12T00:00:00,BTCUSDT,8,4.454e-05
150,1746979200001,2025-05-11T16:00:00,BTCUSDT,8,0.0001
151,1746950400001,2025-05-11T08:00:00,BTCUSDT,8,4.15e-05
152,1746921600000,2025-05-11T00:00:00,BTCUSDT,8,0.0001
153,1746892800001,2025-05-10T16:00:00,BTCUSDT,8,4.257e-05
154,1746864000000,2025-05-10T08:00:00,BTCUSDT,8,0.0001
155,1746835200001,2025-05-10T00:00:00,BTCUSDT,8,9.657e-05
156,1746806400000,2025-05-09T16:00:00,BTCUSDT,8,4.378e-05
157,1746777600006,2025-05-09T08:00:00,BTCUSDT,8,0.0001
158,1746748800001,2025-05-09T00:00:00,BTCUSDT,8,0.0001
159,1746720000002,2025-05-08T16:00:00,BTCUSDT,8,5.728e-05
160,1746691200001,2025-05-08T08:00:00,BTCUSDT,8,4.608e-05
161,1746662400000,2025-05-08T00:00:00,BTCUSDT,8,2.318e-05
162,1746633600006,2025-05-07T16:00:00,BTCUSDT,8,1.32e-05
163,1746604800000,2025-05-07T08:00:00,BTCUSDT,8,-2.5e-07
164,1746576000002,2025-05-07T00:00:00,BTCUSDT,8,1.218e-05
165,1746547200000,2025-05-06T16:00:00,BTCUSDT,8,7.57e-06
166,1746518400005,2025-05-06T08:00:00,BTCUSDT,8,4.44e-05
167,1746489600002,2025-05-06T00:00:00,BTCUSDT,8,1.978e-05
168,1746460800006,2025-05-05T16:00:00,BTCUSDT,8,-2.247e-05
169,1746432000000,2025-05-05T08:00:00,BTCUSDT,8,3.636e-05
170,1746403200000,2025-05-05T00:00:00,BTCUSDT,8,-2.404e-05
171,1746374400002,2025-05-04T16:00:00,BTCUSDT,8,3.745e-05
172,1746345600001,2025-05-04T08:00:00,BTCUSDT,8,3.229e-05
173,1746316800001,2025-05-04T00:00:00,BTCUSDT,8,3.7e-06
174,1746288000000,2025-05-03T16:00:00,BTCUSDT,8,-1.483e-05
175,1746259200000,2025-05-03T08:00:00,BTCUSDT,8,3.198e-05
176,1746230400000,2025-05-03T00:00:00,BTCUSDT,8,-5.953e-05
177,1746201600003,2025-05-02T16:00:00,BTCUSDT,8,-8.689e-05
178,1746172800000,2025-05-02T08:00:00,BTCUSDT,8,-9.382e-05
179,1746144000000,2025-05-02T00:00:00,BTCUSDT,8,-0.00012232
180,1746115200001,2025-05-01T16:00:00,BTCUSDT,8,-8.028e-05
181,1746086400000,2025-05-01T08:00:00,BTCUSDT,8,5.755e-05
182,1746057600000,2025-05-01T00:00:00,BTCUSDT,8,3.519e-05
183,1746028800003,2025-04-30T16:00:00,BTCUSDT,8,-3.797e-05
184,1746000000000,2025-04-30T08:00:00,BTCUSDT,8,2.939e-05
185,1745971200001,2025-04-30T00:00:00,BTCUSDT,8,-5.181e-05
186,1745942400010,2025-04-29T16:00:00,BTCUSDT,8,1.305e-05
187,1745913600000,2025-04-29T08:00:00,BTCUSDT,8,4.13e-06
188,1745884800000,2025-04-29T00:00:00,BTCUSDT,8,-7.73e-06
189,1745856000005,2025-04-28T16:00:00,BTCUSDT,8,-5.821e-05
190,1745827200003,2025-04-28T08:00:00,BTCUSDT,8,2.46e-06
191,1745798400001,2025-04-28T00:00:00,BTCUSDT,8,3.73e-06
192,1745769600000,2025-04-27T16:00:00,BTCUSDT,8,-4.21e-06
193,1745740800000,2025-04-27T08:00:00,BTCUSDT,8,-6.6e-06
194,1745712000001,2025-04-27T00:00:00,BTCUSDT,8,-1.5e-05
195,1745683200002,2025-04-26T16:00:00,BTCUSDT,8,2.855e-05
196,1745654400000,2025-04-26T08:00:00,BTCUSDT,8,-2.774e-05
197,1745625600002,2025-04-26T00:00:00,BTCUSDT,8,-0.00010085
198,1745596800003,2025-04-25T16:00:00,BTCUSDT,8,1.2e-06
199,1745568000002,2025-04-25T08:00:00,BTCUSDT,8,1.7e-06
200,1745539200007,2025-04-25T00:00:00,BTCUSDT,8,-1.764e-05
201,1745510400001,2025-04-24T16:00:00,BTCUSDT,8,-2.165e-05
202,1745481600001,2025-04-24T08:00:00,BTCUSDT,8,5.21e-05
203,1745452800000,2025-04-24T00:00:00,BTCUSDT,8,-2.671e-05
