timestamp,sum_oi,sum_oi_value
1780992000000,97622.22300000,6166873924.68840000
1780995600000,97492.69300000,6124296749.74109800
1780999200000,97596.89200000,6117636799.05771400
1781002800000,97681.14200000,6130744804.79274300
1781006400000,97637.25600000,6120156024.31171400
1781010000000,97577.30500000,6109388751.05715400
1781013600000,98014.18900000,6100795495.46587200
1781017200000,99007.41100000,6090074560.24430000
1781020800000,99683.07400000,6092156993.05497700
1781024400000,100057.63300000,6140286793.12750000
1781028000000,100254.74700000,6182419508.72370000
1781031600000,99938.69700000,6172808682.90696500
1781035200000,99618.87800000,6183975950.40960000
1781038800000,99428.55300000,6177753839.18342200
1781042400000,99109.27900000,6118184720.84532600
1781046000000,99208.03200000,6119806186.77120000
1781049600000,99232.01900000,6122146791.61302800
1781053200000,99493.86300000,6158126367.09256000
1781056800000,99598.97300000,6143657279.56531800
1781060400000,99975.66200000,6126038875.90433500
1781064000000,100153.17900000,6161386542.98195000
1781067600000,100140.89600000,6135592641.56160000
1781071200000,100292.36400000,6150088228.26240000
1781074800000,100788.66100000,6192424600.53769100
1781078400000,101084.54900000,6231802600.13469900
1781082000000,100838.40700000,6174214654.52160000
1781085600000,100765.21900000,6177149761.22560000
1781089200000,100772.97300000,6182784676.25280000
1781092800000,100909.10600000,6155815101.06080150
1781096400000,101045.70000000,6219302207.58000000
1781100000000,101090.93500000,6279647573.07800000
1781103600000,100469.98800000,6246661221.90720000
1781107200000,100567.70400000,6296010938.60880000
1781110800000,100431.54000000,6246299457.68400000
1781114400000,100363.70400000,6216969426.05760000
1781118000000,100215.48200000,6197786398.09720000
1781121600000,100218.32500000,6204356151.43000000
1781125200000,100110.68300000,6184434905.15251400
1781128800000,99548.79500000,6105173288.78271600
1781132400000,99165.69500000,6084132718.47400000
1781136000000,99363.01700000,6109780512.24892500
1781139600000,99790.77400000,6166929348.88497900
1781143200000,100277.65300000,6235294546.83590000
1781146800000,100217.37200000,6224861757.45920000
1781150400000,99784.07700000,6252899336.35110000
1781154000000,100177.41900000,6281077594.60745000
1781157600000,100316.19100000,6277957770.30470000
1781161200000,100133.51100000,6282190635.24645400
1781164800000,100279.52400000,6286969165.99042700
1781168400000,101752.32200000,6402988716.95840000
1781172000000,101637.56800000,6392459901.07807200
1781175600000,101311.07000000,6397064441.38786300
1781179200000,101698.88600000,6414972500.99660000
1781182800000,103475.01400000,6516913943.82105200
1781186400000,101870.14500000,6422179177.20600000
1781190000000,101805.69000000,6383531209.05477500
