timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1783073400000,2026-07-03 10:10:00,107688.48900000,6638646411.17483300,1.7518,1.9011,1.1727,1.5668
1783073700000,2026-07-03 10:15:00,107711.86300000,6645843489.47260000,1.7510,1.9011,1.1732,0.7739
1783074000000,2026-07-03 10:20:00,107713.84600000,6641388002.51420000,1.7518,1.9011,1.1736,1.4306
1783074300000,2026-07-03 10:25:00,107709.58800000,6645649266.72360000,1.7533,1.9036,1.1738,1.8253
1783074600000,2026-07-03 10:30:00,107710.28500000,6648235379.14714500,1.7541,1.9044,1.1742,1.0513
1783074900000,2026-07-03 10:35:00,107709.03100000,6648933325.61327900,1.7556,1.9053,1.1743,1.3904
1783075200000,2026-07-03 10:40:00,107720.61200000,6657572364.70058000,1.7579,1.9061,1.1751,2.5787
1783075500000,2026-07-03 10:45:00,107764.99200000,6679968578.51470850,1.7678,1.9053,1.1674,0.7452
1783075800000,2026-07-03 10:50:00,107815.01500000,6678773608.19900000,1.7640,1.9036,1.1695,1.0402
1783076100000,2026-07-03 10:55:00,107879.63100000,6682085969.39631800,1.7617,1.9019,1.1693,0.5027
1783076400000,2026-07-03 11:00:00,107911.40300000,6678269832.89980000,1.7579,1.8977,1.1688,1.2296
1783076700000,2026-07-03 11:05:00,107888.08800000,6682243514.40531350,1.7640,1.9019,1.1693,1.4685
1783077000000,2026-07-03 11:10:00,107973.23800000,6692656373.48720000,1.7640,1.9019,1.1708,0.8701
1783077300000,2026-07-03 11:15:00,108091.57700000,6700845468.85710000,1.7601,1.8952,1.1690,1.0489
1783077600000,2026-07-03 11:20:00,108128.13500000,6695218429.50550000,1.7586,1.8935,1.1680,1.8452
1783077900000,2026-07-03 11:25:00,108231.54600000,6713451274.21560000,1.7579,1.8927,1.1688,1.2727
1783078200000,2026-07-03 11:30:00,108234.93900000,6706063644.53760000,1.7556,1.8910,1.1699,0.7581
1783078500000,2026-07-03 11:35:00,108271.30900000,6707916467.70230000,1.7541,1.8885,1.1703,0.5063
1783078800000,2026-07-03 11:40:00,108255.24600000,6698130909.25337700,1.7495,1.8852,1.1704,0.6401
1783079100000,2026-07-03 11:45:00,108262.58700000,6697311456.42520500,1.7420,1.8777,1.1696,1.6757
1783079400000,2026-07-03 11:50:00,108426.68400000,6723441090.82440000,1.7397,1.8752,1.1727,1.1900
1783079700000,2026-07-03 11:55:00,108460.67200000,6724572510.06720000,1.7390,1.8727,1.1731,0.6184
1783080000000,2026-07-03 12:00:00,108507.50800000,6727407041.11849500,1.7360,1.8703,1.1733,1.5808
1783080300000,2026-07-03 12:05:00,108732.70200000,6754474171.81267600,1.7375,1.8703,1.1825,1.7643
1783080600000,2026-07-03 12:10:00,108906.34500000,6759316310.84735800,1.7352,1.8678,1.1866,1.5040
1783080900000,2026-07-03 12:15:00,109192.85400000,6784152019.02000000,1.7270,1.8571,1.1978,0.9609
